TICKERS,Name,Price,Market_Cap,Beta,Sector,Industry,P/E_Ratio,FWD_P/E_Ratio,PEG_Ratio,P/B_Ratio,P/S_Ratio_TTM,EV/EBITDA,Dividend_Yield,Payout_Ratio,Profit_Margin,Operating_Margin,EBITDA_Margin
A,"Agilent Technologies, Inc.",133.625,38457416510.74219,1.055,Healthcare,Diagnostics & Research,27.781706,23.672565,5.41,6.498782,5.919479,25.979,0.0069,0.19399999,0.21747999,0.24968,0.24073
AA,Alcoa Corporation,42.3607,11018201394.195557,2.426,Basic Materials,Aluminum,,13.554488,0.84,1.8537242,0.99020946,10.638,0.0095999995,0.0584,-0.02654,0.092980005,0.09606
AACT,Ares Acquisition Corporation II,10.87,680321769.8374748,,Financial Services,Shell Companies,23.630434,,,,,,,,,,
AAM,AA Mission Acquisition Corp.,,440751402.0,,,,,,,,,,,,,,
AAP,"Advance Auto Parts, Inc.",39.16,2361908903.2669067,1.187,Consumer Cyclical,Specialty Retail,,14.185253,0.18,0.8910013,0.20744991,17.897,0.024400001,6.25,-0.0010800001,0.02674,0.03186
AAT,"American Assets Trust, Inc.",27.34,2117472813.951233,1.318,Real Estate,REIT—Diversified,30.820225,38.633804,12.39,1.401134,4.7705245,13.413,0.048699997,1.4944,0.121199995,0.28033,0.54446
AB,AllianceBernstein Holding L.P.,37.8415,4363545295.021057,1.243,Financial Services,Asset Management,13.205576,10.460055,0.73,2.0883954,,,0.0756,0.96169996,,,
ABBV,AbbVie Inc.,188.405,330659537376.5918,0.618,Healthcare,Drug Manufacturers—General,62.921143,15.538526,2.77,48.861385,6.04569,14.828,0.0332,2.0268,0.09707,0.3456,0.47493
ABCB,Ameris Bancorp,62.685,4329810135.150909,1.025,Financial Services,Banks—Regional,13.884444,12.565261,1.75,1.206351,4.2577333,,0.0095999995,0.1333,0.30631,0.46445,
ABEV,Ambev S.A.,2.265,35545731126.8042,0.525,Consumer Defensive,Beverages—Brewers,14.125,12.583333,4.92,0.37345657,0.44183895,1.063,0.0659,0.8058,0.17854999,0.2017,0.2906
ABG,"Asbury Automotive Group, Inc.",228.63,4580138235.694885,1.158,Consumer Cyclical,Auto & Truck Dealerships,11.597258,7.942589,-17.14,1.3693379,0.2872437,9.02,,,0.025120001,0.05558,0.06785
ABM,ABM Industries Incorporated,53.45,3353683323.418808,1.134,Industrials,Specialty Business Services,22.070248,14.594262,4.21,1.8245116,0.40490445,12.91,0.0166,0.3698,0.01884,0.017860001,0.04476
ABR,"Arbor Realty Trust, Inc.",15.295,2873486594.9245605,2.011,Real Estate,REIT—Mortgage,10.576388,9.465838,1.13,1.1747528,4.323144,,0.1144,1.1944001,0.47389,0.43576,
ABT,Abbott Laboratories,116.115,202887989387.78906,0.722,Healthcare,Medical Devices,35.425533,22.535854,3.04,5.1389503,4.89926,19.868,0.0188,0.65650004,0.13992,0.17546,0.25817
AC,"Associated Capital Group, Inc.",36.9292,808282800.0,0.88,Financial Services,Asset Management,24.675325,14.671815,,0.88640076,58.43671,-26.822,0.0050999997,0.1299,2.4648101,-1.4158,-1.2368699
ACA,"Arcosa, Inc.",93.21,4528130865.112305,0.713,Industrials,Engineering & Construction,30.827814,20.568281,6.78,1.8869221,1.8633299,14.556,0.0021,0.066199996,0.06048,0.08801,0.14681
ACCO,ACCO Brands Corporation,5.11,489047770.827198,1.601,Industrials,Business Equipment & Supplies,,4.2625,0.51,0.7916796,0.28151447,7.115,0.0589,0.5172,-0.10151,0.11156999,0.11755
ACEL,"Accel Entertainment, Inc.",11.0,907330066.1727905,1.472,Consumer Cyclical,Gambling,19.219297,12.448864,-1.25,4.3472223,0.75790346,7.189,,,0.040510003,0.073309995,0.14021
ACHR,Archer Aviation Inc.,3.245,1216547227.2903748,2.312,Industrials,Aerospace & Defense,,-2.7099097,0.2,3.020402,,-1.902,,,,,
ACI,"Albertsons Companies, Inc.",18.53,10749801723.042969,0.327,Consumer Defensive,Grocery Stores,10.830409,8.063044,1.03,3.5548522,0.1346371,6.409,0.0256,0.2807,0.012519999,0.02273,0.04847
ACM,AECOM,106.78,14240596903.656006,1.175,Industrials,Engineering & Construction,39.201107,21.31463,1.69,6.272437,0.90264654,15.097,0.0082,0.31,0.01611,0.060450003,0.06736
ACN,Accenture plc,372.655,232119320799.3164,1.239,Technology,Information Technology Services,32.607162,26.454868,3.04,8.230405,3.586635,21.232,0.015700001,0.45099998,0.111940004,0.14597,0.17052001
ACP,Abrdn Income Credit Strategies Fund,6.646,346349120.76473236,0.999,Financial Services,Asset Management,7.217391,,,0.9907546,7.9593225,,0.1807,1.3043,1.0924801,0.84865,
ACR,ACRES Commercial Realty Corp.,15.326,122035065.0,2.052,Real Estate,REIT—Mortgage,18.90244,8.378378,2.16,0.26174033,1.5722681,,,,0.33682,0.25802,
ACRE,Ares Commercial Real Estate Corporation,6.565,359278241.31889343,1.495,Real Estate,REIT—Mortgage,,16.4625,4.63,0.6151258,7.0281734,,0.152,22.666698,-0.95656997,0.53529,
ACV,Virtus Diversified Income & Convertible Fund,21.57,223250562.3664856,,Financial Services,Asset Management,11.9556675,,,,,,0.1233,,,,
ADC,Agree Realty Corporation,75.22,7590133800.506592,0.621,Real Estate,REIT—Retail,42.078213,40.70276,20.73,1.5166582,13.032701,23.058,0.0405,1.6542,0.32084998,0.49019,0.77208
ADCT,ADC Therapeutics SA,3.2,307466879.73460007,1.59,Healthcare,Biotechnology,,-0.56785715,-0.04,,4.649979,-3.215,,,,-1.66806,-2.05964
ADM,Archer-Daniels-Midland Company,56.17,26816594529.60791,0.712,Consumer Defensive,Farm Products,11.195219,10.529963,-2.27,1.2146325,0.30185515,9.595,0.0356,0.37849998,0.0293,0.0222,0.04493
ADNT,Adient plc,21.69,1885481674.0,2.162,Consumer Cyclical,Auto Parts,28.76,8.348838,0.55,0.9782363,0.12724854,5.727,,,0.0049799997,0.022869999,0.04867
ADT,ADT Inc.,7.035,6369118478.222168,1.53,Industrials,Security & Protection Services,Infinity,8.427711,2.67,1.6579758,1.2636492,5.825,0.0317,0.6923,0.13269,0.23745,0.47559
ADX,"Adams Diversified Equity Fund, Inc.",21.87,2450839868.1640625,0.944,Financial Services,Asset Management,4.291748,,,0.9224896,70.338394,,0.0806,0.2554,17.99532,0.4793,
AEE,Ameren Corporation,87.76,23374503479.846924,0.46,Utilities,Utilities—Regulated Electric,19.858917,17.917515,3.08,2.0326014,3.3671865,12.64,0.0304,0.5869,0.16841999,0.26909,0.47171003
AEG,Aegon Ltd.,6.465,10540662460.113892,1.081,Financial Services,Insurance—Diversified,,22.155174,,1.2655112,0.8333033,,0.0556,0.66160005,-0.00236,-0.0074400003,
AEM,Agnico Eagle Mines Limited,87.86,44001215295.73462,1.098,Basic Materials,Gold,75.62069,19.981733,-32.23,2.1896255,6.04091,12.153,0.0185,1.3792999,0.08486,0.38155997,0.49969003
